Price,is_holiday,duration,days_until_flight,From_Алматы,From_Астана,From_Шымкент,To_Алматы,To_Астана,To_Атырау,To_Шымкент,avialine_Air Astana,avialine_FlyArystan,avialine_Qazaq Air,avialine_SCAT,part_of_day_вечер,part_of_day_день,part_of_day_ночь,part_of_day_утро
24677,False,0.2425420339286282,-0.26226539582639996,False,False,True,False,True,False,False,False,True,False,False,False,False,False,True
24677,False,0.010115080290767537,-0.26226539582639996,False,False,True,False,True,False,False,False,True,False,False,True,False,False,False
24677,False,0.2425420339286282,-0.2156903750958044,False,False,True,False,True,False,False,False,True,False,False,False,False,False,True
24677,False,0.2425420339286282,-0.2156903750958044,False,False,True,False,True,False,False,False,True,False,False,False,False,True,False
21497,False,0.2425420339286282,-0.1691153543652089,False,False,True,False,True,False,False,False,True,False,False,False,False,False,True
21497,False,0.010115080290767537,-0.1691153543652089,False,False,True,False,True,False,False,False,True,False,False,False,False,True,False
21497,False,0.010115080290767537,-0.1691153543652089,False,False,True,False,True,False,False,False,True,False,False,False,False,True,False
21497,False,0.2425420339286282,-0.12254033363461336,False,False,True,False,True,False,False,False,True,False,False,False,False,False,True
21497,False,0.010115080290767537,-0.12254033363461336,False,False,True,False,True,False,False,False,True,False,False,True,False,False,False
18317,False,0.010115080290767537,-0.07596531290401784,False,False,True,False,True,False,False,False,True,False,False,False,True,False,False
18317,False,0.2425420339286282,-0.07596531290401784,False,False,True,False,True,False,False,False,True,False,False,False,False,False,True
21497,False,0.7073959412043496,-0.07596531290401784,False,False,True,False,True,False,False,False,True,False,False,True,False,False,False
18317,False,0.2425420339286282,-0.02939029217342231,False,False,True,False,True,False,False,False,True,False,False,True,False,False,False
18317,False,0.2425420339286282,-0.02939029217342231,False,False,True,False,True,False,False,False,True,False,False,False,False,False,True
18317,False,0.2425420339286282,0.017184728557173217,False,False,True,False,True,False,False,False,True,False,False,False,False,False,True
18317,False,0.2425420339286282,0.017184728557173217,False,False,True,False,True,False,False,False,True,False,False,False,False,True,False
15214,False,0.010115080290767537,0.06375974928776874,False,False,True,False,True,False,False,False,True,False,False,True,False,False,False
22095,False,0.2425420339286282,0.06375974928776874,False,False,True,False,True,False,False,False,True,False,False,False,False,False,True
22095,False,0.010115080290767537,0.06375974928776874,False,False,True,False,True,False,False,False,True,False,False,True,False,False,False
21497,False,0.2425420339286282,0.11033477001836427,False,False,True,False,True,False,False,False,True,False,False,False,False,True,False
21497,False,0.2425420339286282,0.11033477001836427,False,False,True,False,True,False,False,False,True,False,False,False,False,False,True
18317,False,0.010115080290767537,0.1569097907489598,False,False,True,False,True,False,False,False,True,False,False,False,False,True,False
18317,False,0.2425420339286282,0.1569097907489598,False,False,True,False,True,False,False,False,True,False,False,False,False,False,True
18317,False,0.010115080290767537,0.1569097907489598,False,False,True,False,True,False,False,False,True,False,False,False,False,True,False
18317,False,0.2425420339286282,0.20348481147955533,False,False,True,False,True,False,False,False,True,False,False,False,False,False,True
18317,False,0.010115080290767537,0.20348481147955533,False,False,True,False,True,False,False,False,True,False,False,True,False,False,False
15137,False,0.7073959412043496,0.2500598322101508,False,False,True,False,True,False,False,False,True,False,False,True,False,False,False
15137,False,0.2425420339286282,0.2500598322101508,False,False,True,False,True,False,False,False,True,False,False,False,False,False,True
18317,False,0.010115080290767537,0.2500598322101508,False,False,True,False,True,False,False,False,True,False,False,False,True,False,False
18317,False,0.2425420339286282,0.2966348529407464,False,False,True,False,True,False,False,False,True,False,False,True,False,False,False
18317,False,0.2425420339286282,0.2966348529407464,False,False,True,False,True,False,False,False,True,False,False,False,False,False,True
18317,False,0.2425420339286282,0.34320987367134187,False,False,True,False,True,False,False,False,True,False,False,False,False,True,False
18317,False,0.2425420339286282,0.34320987367134187,False,False,True,False,True,False,False,False,True,False,False,False,False,False,True
21497,False,0.2425420339286282,0.3897848944019374,False,False,True,False,True,False,False,False,True,False,False,False,False,False,True
21497,False,0.010115080290767537,0.3897848944019374,False,False,True,False,True,False,False,False,True,False,False,True,False,False,False
22063,False,0.2425420339286282,0.43635991513253297,False,False,True,False,True,False,False,False,True,False,False,False,False,True,False
22063,False,0.2425420339286282,0.43635991513253297,False,False,True,False,True,False,False,False,True,False,False,False,False,False,True
18317,False,0.010115080290767537,0.48293493586312847,False,False,True,False,True,False,False,False,True,False,False,False,False,True,False
18317,False,0.010115080290767537,0.48293493586312847,False,False,True,False,True,False,False,False,True,False,False,False,False,True,False
18317,False,0.2425420339286282,0.48293493586312847,False,False,True,False,True,False,False,False,True,False,False,False,False,False,True
15137,False,0.2425420339286282,0.529509956593724,False,False,True,False,True,False,False,False,True,False,False,False,False,False,True
18317,False,0.010115080290767537,0.529509956593724,False,False,True,False,True,False,False,False,True,False,False,True,False,False,False
